2011	256038702056.00
2012	242578013546.00
2013	242032979231.00
2014	229154460893.00
2010	201915103285.00
2008	197942442909.00
2015	191126885834.00
2016	185235399101.00
2007	160648869728.00
2009	152994742805.00
2006	137806190344.00
2005	118528688118.00
2004	96677246370.00
2003	73203221846.00
1997	65074597888.00
1998	60793118720.00
2002	60438649875.00
2001	58286592791.00
1996	56729460736.00
2000	55850546401.00
1995	53734285312.00
1999	51747393438.00
1994	43557826560.00
1993	38700838912.00
1992	35975315456.00
1989	34381434880.00
1991	31621120000.00
1990	31411257344.00
